Ao;Pas;FL
1991;Brazil;21660806
1992;Brazil;22741624
1993;Brazil;23854127
1994;Brazil;25014108
1995;Brazil;26228230
1996;Brazil;26295814
1997;Brazil;27455127
1998;Brazil;28648013
1999;Brazil;30100016
2000;Brazil;31420025
2001;Brazil;32734948
2002;Brazil;34309848
2003;Brazil;35226460
2004;Brazil;36634308
2005;Brazil;38110860
2006;Brazil;38619651
2007;Brazil;39130678
2008;Brazil;39727169
2009;Brazil;40746819
2010;Brazil;40375989
2011;Brazil;39960292
2012;Brazil;41298705
2013;Brazil;41857188
2014;Brazil;42394006
2015;Brazil;43432924
2016;Brazil;43969409
2017;Brazil;45256057
2018;Brazil;45714195
1991;Colombia;5833491
1992;Colombia;6002683
1993;Colombia;6150060
1994;Colombia;6341733
1995;Colombia;6544921
1996;Colombia;6722281
1997;Colombia;6936803
1998;Colombia;7133345
1999;Colombia;7270324
2000;Colombia;7502358
2001;Colombia;7710007
2002;Colombia;7923532
2003;Colombia;8237017
2004;Colombia;8153549
2005;Colombia;8178117
2006;Colombia;8189857
2007;Colombia;8204759
2008;Colombia;8459145
2009;Colombia;9210029
2010;Colombia;9616403
2011;Colombia;9934017
2012;Colombia;10354600
2013;Colombia;10501243
2014;Colombia;10678728
2015;Colombia;10980304
2016;Colombia;11124173
2017;Colombia;11292336
2018;Colombia;11532908
1991;Ecuador;1565168
1992;Ecuador;1616266
1993;Ecuador;1668165
1994;Ecuador;1727603
1995;Ecuador;1782044
1996;Ecuador;1836162
1997;Ecuador;1901857
1998;Ecuador;2071923
1999;Ecuador;2102161
2000;Ecuador;2131655
2001;Ecuador;2157347
2002;Ecuador;2182790
2003;Ecuador;2207839
2004;Ecuador;2431594
2005;Ecuador;2442894
2006;Ecuador;2558194
2007;Ecuador;2565719
2008;Ecuador;2635689
2009;Ecuador;2615563
2010;Ecuador;2599727
2011;Ecuador;2611986
2012;Ecuador;2734874
2013;Ecuador;2745580
2014;Ecuador;2750908
2015;Ecuador;3024078
2016;Ecuador;3305029
2017;Ecuador;3430485
2018;Ecuador;3508491
1991;Panama;316743
1992;Panama;331513
1993;Panama;347184
1994;Panama;365407
1995;Panama;387856
1996;Panama;402445
1997;Panama;417085
1998;Panama;429785
1999;Panama;442567
2000;Panama;461286
2001;Panama;480016
2002;Panama;499371
2003;Panama;517747
2004;Panama;532889
2005;Panama;554912
2006;Panama;552006
2007;Panama;575080
2008;Panama;601731
2009;Panama;605194
2010;Panama;608616
2011;Panama;599654
2012;Panama;646719
2013;Panama;681701
2014;Panama;696871
2015;Panama;728921
2016;Panama;751962
2017;Panama;786850
2018;Panama;804027
1991;Peru;3063838
1992;Peru;3220893
1993;Peru;3384060
1994;Peru;3554977
1995;Peru;3897831
1996;Peru;4214871
1997;Peru;4550384
1998;Peru;4698249
1999;Peru;5006217
2000;Peru;4842343
2001;Peru;5410963
2002;Peru;5717590
2003;Peru;5974875
2004;Peru;6249053
2005;Peru;6144935
2006;Peru;6541261
2007;Peru;6900891
2008;Peru;7017847
2009;Peru;7148552
2010;Peru;7399645
2011;Peru;7428509
2012;Peru;7530377
2013;Peru;7604823
2014;Peru;7629835
2015;Peru;7590811
2016;Peru;7802180
2017;Peru;8173330
2018;Peru;8398895
1991;Venezuela;2795115
1992;Venezuela;2908848
1993;Venezuela;3015527
1994;Venezuela;3100370
1995;Venezuela;3173554
1996;Venezuela;3282840
1997;Venezuela;3381948
1998;Venezuela;3520010
1999;Venezuela;3626207
2000;Venezuela;3696155
2001;Venezuela;3832815
2002;Venezuela;3971079
2003;Venezuela;4027137
2004;Venezuela;4091316
2005;Venezuela;4332486
2006;Venezuela;4528462
2007;Venezuela;4718637
2008;Venezuela;4774998
2009;Venezuela;4917259
2010;Venezuela;5055071
2011;Venezuela;5108357
2012;Venezuela;5254267
2013;Venezuela;5321029
2014;Venezuela;5441429
2015;Venezuela;5493069
2016;Venezuela;5491528
2017;Venezuela;5327198
2018;Venezuela;5162000
